generateTime,totalInfo,timeZone,type
20210607 21:14:23,"{""allSleepTime"":330,""awakeTime"":0,""daySleepTime"":12,""deepSleepPart"":68,""deepSleepTime"":74,""dreamTime"":70,""fallAsleepTime"":1623048900000,""goBedTime"":1623048708000,""lightSleepTime"":186,""sleepEfficiency"":32,""sleepLatency"":648000,""sleepScore"":75,""snoreFreq"":1,""validData"":90.52,""wakeupCnt"":0,""wakeupTime"":1623068700000}","""	-0500""",9
20210609 03:07:44,"{""allSleepTime"":493,""awakeTime"":0,""daySleepTime"":129,""deepSleepPart"":61,""deepSleepTime"":126,""dreamTime"":105,""fallAsleepTime"":1623132600000,""goBedTime"":1623127606000,""lightSleepTime"":262,""sleepEfficiency"":8,""sleepLatency"":5322000,""sleepScore"":86,""snoreFreq"":1,""validData"":87.31,""wakeupCnt"":0,""wakeupTime"":1623162180000}","""	-0500""",9
20210609 22:51:42,"{""allSleepTime"":397,""awakeTime"":1,""daySleepTime"":126,""deepSleepPart"":52,""deepSleepTime"":120,""dreamTime"":55,""fallAsleepTime"":1623219540000,""goBedTime"":1623216556000,""lightSleepTime"":222,""sleepEfficiency"":10,""sleepLatency"":3286000,""sleepScore"":77,""snoreFreq"":1,""validData"":88.29,""wakeupCnt"":1,""wakeupTime"":1623243420000}","""	-0500""",9
20210611 23:25:00,"{""allSleepTime"":533,""awakeTime"":8,""daySleepTime"":0,""deepSleepPart"":64,""deepSleepTime"":134,""dreamTime"":96,""fallAsleepTime"":1623309780000,""goBedTime"":1623309601000,""lightSleepTime"":303,""sleepEfficiency"":44,""sleepLatency"":531000,""sleepScore"":80,""snoreFreq"":1,""validData"":80.87,""wakeupCnt"":2,""wakeupTime"":1623342240000}","""	-0500""",9
20210611 23:25:00,"{""allSleepTime"":487,""awakeTime"":14,""daySleepTime"":90,""deepSleepPart"":63,""deepSleepTime"":138,""dreamTime"":91,""fallAsleepTime"":1623396180000,""goBedTime"":1623395474000,""lightSleepTime"":258,""sleepEfficiency"":28,""sleepLatency"":1001000,""sleepScore"":85,""snoreFreq"":1,""validData"":77.33,""wakeupCnt"":2,""wakeupTime"":1623426240000}","""	-0500""",9
20210612 12:59:25,"{""avgRestingHeartRate"":60,""lastHeartRate"":76,""lastRestHeartRate"":0,""maxHeartRate"":120,""minHeartRate"":41}","""	-0500""",7
20210613 00:27:43,"{""allSleepTime"":568,""awakeTime"":4,""daySleepTime"":113,""deepSleepPart"":53,""deepSleepTime"":156,""dreamTime"":108,""fallAsleepTime"":1623483360000,""goBedTime"":1623477266000,""lightSleepTime"":304,""sleepEfficiency"":8,""sleepLatency"":6488000,""sleepScore"":76,""snoreFreq"":3,""validData"":88.65,""wakeupCnt"":1,""wakeupTime"":1623520320000}","""	-0500""",9
20210615 19:38:40,"{""allSleepTime"":271,""awakeTime"":0,""daySleepTime"":107,""deepSleepPart"":52,""deepSleepTime"":82,""dreamTime"":26,""fallAsleepTime"":1623657600000,""goBedTime"":1623657143000,""lightSleepTime"":163,""sleepEfficiency"":25,""sleepLatency"":719000,""sleepScore"":64,""snoreFreq"":1,""validData"":88.41,""wakeupCnt"":0,""wakeupTime"":1623673860000}","""	-0500""",9
20210616 03:28:27,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":86,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210616 21:04:15,"{""allSleepTime"":322,""awakeTime"":48,""daySleepTime"":60,""deepSleepPart"":64,""deepSleepTime"":90,""dreamTime"":39,""fallAsleepTime"":1623825840000,""goBedTime"":1623824423000,""lightSleepTime"":193,""sleepEfficiency"":13,""sleepLatency"":1923000,""sleepScore"":72,""snoreFreq"":1,""validData"":71.8,""wakeupCnt"":2,""wakeupTime"":1623848040000}","""	-0500""",9
