recordDay,timeZone,sportType,sportBasicInfoData
20210621,"""	-0500""",5,"{""duration"":15,""altitude"":0.0,""distance"":155,""calorie"":4199,""count"":0,""floor"":0,""steps"":264}"
20210622,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2453,""calorie"":158000,""count"":0,""floor"":0,""steps"":2769}"
20210622,"""	-0500""",5,"{""duration"":70,""altitude"":0.0,""distance"":1575,""calorie"":212982,""count"":0,""floor"":0,""steps"":2473}"
20210623,"""	-0500""",5,"{""duration"":18,""altitude"":0.0,""distance"":155,""calorie"":3209,""count"":0,""floor"":0,""steps"":264}"
20210624,"""	-0500""",5,"{""duration"":11,""altitude"":0.0,""distance"":137,""calorie"":4520,""count"":0,""floor"":0,""steps"":229}"
20210625,"""	-0500""",5,"{""duration"":21,""altitude"":0.0,""distance"":222,""calorie"":3918,""count"":0,""floor"":0,""steps"":358}"
20210626,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2246,""calorie"":146000,""count"":0,""floor"":0,""steps"":2546}"
20210626,"""	-0500""",5,"{""duration"":69,""altitude"":0.0,""distance"":1707,""calorie"":225367,""count"":0,""floor"":0,""steps"":2845}"
20210627,"""	-0500""",5,"{""duration"":42,""altitude"":0.0,""distance"":1169,""calorie"":43311,""count"":0,""floor"":0,""steps"":1725}"
20210628,"""	-0500""",5,"{""duration"":40,""altitude"":0.0,""distance"":1460,""calorie"":63394,""count"":0,""floor"":0,""steps"":2056}"
20210629,"""	-0500""",5,"{""duration"":24,""altitude"":0.0,""distance"":280,""calorie"":6723,""count"":0,""floor"":0,""steps"":467}"
20210630,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2382,""calorie"":155000,""count"":0,""floor"":0,""steps"":2615}"
20210630,"""	-0500""",5,"{""duration"":42,""altitude"":0.0,""distance"":1378,""calorie"":173082,""count"":0,""floor"":0,""steps"":1980}"
20210701,"""	-0500""",5,"{""duration"":98,""altitude"":0.0,""distance"":5747,""calorie"":249434,""count"":0,""floor"":0,""steps"":7957}"
20210702,"""	-0500""",5,"{""duration"":153,""altitude"":0.0,""distance"":7730,""calorie"":339448,""count"":0,""floor"":0,""steps"":11032}"
20210703,"""	-0500""",5,"{""duration"":33,""altitude"":0.0,""distance"":455,""calorie"":10434,""count"":0,""floor"":0,""steps"":742}"
20210704,"""	-0500""",5,"{""duration"":51,""altitude"":0.0,""distance"":1645,""calorie"":63742,""count"":0,""floor"":0,""steps"":2455}"
20210705,"""	-0500""",4,"{""duration"":3,""altitude"":0.0,""distance"":388,""calorie"":23824,""count"":0,""floor"":0,""steps"":488}"
20210705,"""	-0500""",5,"{""duration"":77,""altitude"":0.0,""distance"":3570,""calorie"":164959,""count"":0,""floor"":0,""steps"":4894}"
20210706,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":1027,""calorie"":40008,""count"":0,""floor"":0,""steps"":1491}"
20210707,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":438,""calorie"":11558,""count"":0,""floor"":0,""steps"":711}"
20210708,"""	-0500""",5,"{""duration"":25,""altitude"":0.0,""distance"":288,""calorie"":7299,""count"":0,""floor"":0,""steps"":522}"
20210709,"""	-0500""",5,"{""duration"":38,""altitude"":0.0,""distance"":373,""calorie"":13336,""count"":0,""floor"":0,""steps"":647}"
20210710,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2412,""calorie"":148000,""count"":0,""floor"":0,""steps"":2623}"
20210710,"""	-0500""",5,"{""duration"":54,""altitude"":0.0,""distance"":1837,""calorie"":111604,""count"":0,""floor"":0,""steps"":2544}"
20210711,"""	-0500""",5,"{""duration"":43,""altitude"":0.0,""distance"":1057,""calorie"":39833,""count"":0,""floor"":0,""steps"":1594}"
20210712,"""	-0500""",5,"{""duration"":105,""altitude"":0.0,""distance"":1344,""calorie"":33470,""count"":0,""floor"":0,""steps"":2304}"
20210713,"""	-0500""",5,"{""duration"":156,""altitude"":0.0,""distance"":4653,""calorie"":198483,""count"":0,""floor"":0,""steps"":6829}"
20210714,"""	-0500""",5,"{""duration"":35,""altitude"":0.0,""distance"":466,""calorie"":10246,""count"":0,""floor"":0,""steps"":807}"
20210715,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2481,""calorie"":154000,""count"":0,""floor"":0,""steps"":2698}"
20210715,"""	-0500""",5,"{""duration"":80,""altitude"":0.0,""distance"":2175,""calorie"":115391,""count"":0,""floor"":0,""steps"":3134}"
20210716,"""	-0500""",5,"{""duration"":131,""altitude"":0.0,""distance"":5492,""calorie"":232356,""count"":0,""floor"":0,""steps"":7704}"
20210717,"""	-0500""",5,"{""duration"":220,""altitude"":0.0,""distance"":6962,""calorie"":283245,""count"":0,""floor"":0,""steps"":11300}"
20210718,"""	-0500""",5,"{""duration"":221,""altitude"":0.0,""distance"":5640,""calorie"":193195,""count"":0,""floor"":0,""steps"":9450}"
20210719,"""	-0500""",5,"{""duration"":17,""altitude"":0.0,""distance"":407,""calorie"":11500,""count"":0,""floor"":0,""steps"":637}"
20210720,"""	-0500""",4,"{""duration"":13,""altitude"":0.0,""distance"":1688,""calorie"":108000,""count"":0,""floor"":0,""steps"":2122}"
20210720,"""	-0500""",5,"{""duration"":46,""altitude"":0.0,""distance"":1508,""calorie"":86645,""count"":0,""floor"":0,""steps"":2090}"
20210721,"""	-0500""",5,"{""duration"":30,""altitude"":0.0,""distance"":546,""calorie"":16999,""count"":0,""floor"":0,""steps"":911}"
20210722,"""	-0500""",5,"{""duration"":69,""altitude"":0.0,""distance"":2448,""calorie"":105731,""count"":0,""floor"":0,""steps"":3536}"
20210723,"""	-0500""",5,"{""duration"":106,""altitude"":0.0,""distance"":6041,""calorie"":263457,""count"":0,""floor"":0,""steps"":7986}"
20210724,"""	-0500""",5,"{""duration"":54,""altitude"":0.0,""distance"":1724,""calorie"":69754,""count"":0,""floor"":0,""steps"":2567}"
20210725,"""	-0500""",5,"{""duration"":88,""altitude"":0.0,""distance"":1913,""calorie"":78283,""count"":0,""floor"":0,""steps"":3048}"
20210726,"""	-0500""",4,"{""duration"":18,""altitude"":0.0,""distance"":2447,""calorie"":159000,""count"":0,""floor"":0,""steps"":2880}"
20210726,"""	-0500""",5,"{""duration"":55,""altitude"":0.0,""distance"":1386,""calorie"":162919,""count"":0,""floor"":0,""steps"":2101}"
20210727,"""	-0500""",5,"{""duration"":29,""altitude"":0.0,""distance"":380,""calorie"":21259,""count"":0,""floor"":0,""steps"":681}"
20210728,"""	-0500""",5,"{""duration"":23,""altitude"":0.0,""distance"":272,""calorie"":5127,""count"":0,""floor"":0,""steps"":472}"
20210729,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":429,""calorie"":10959,""count"":0,""floor"":0,""steps"":738}"
20210730,"""	-0500""",5,"{""duration"":41,""altitude"":0.0,""distance"":1573,""calorie"":59226,""count"":0,""floor"":0,""steps"":2185}"
20210731,"""	-0500""",5,"{""duration"":64,""altitude"":0.0,""distance"":1732,""calorie"":68465,""count"":0,""floor"":0,""steps"":3092}"
20210801,"""	-0500""",5,"{""duration"":29,""altitude"":0.0,""distance"":241,""calorie"":4347,""count"":0,""floor"":0,""steps"":430}"
20210802,"""	-0500""",5,"{""duration"":24,""altitude"":0.0,""distance"":275,""calorie"":6630,""count"":0,""floor"":0,""steps"":485}"
20210803,"""	-0500""",5,"{""duration"":10,""altitude"":0.0,""distance"":122,""calorie"":3151,""count"":0,""floor"":0,""steps"":213}"
20210804,"""	-0500""",5,"{""duration"":6,""altitude"":0.0,""distance"":30,""calorie"":2000,""count"":0,""floor"":0,""steps"":63}"
20210805,"""	-0500""",5,"{""duration"":21,""altitude"":0.0,""distance"":225,""calorie"":4690,""count"":0,""floor"":0,""steps"":393}"
20210806,"""	-0500""",5,"{""duration"":34,""altitude"":0.0,""distance"":389,""calorie"":8726,""count"":0,""floor"":0,""steps"":688}"
